State/UnionTerritory,Cured,Deaths,Confirmed
Madhya Pradesh,69,69,1355
Maharashtra,331,201,3323
Manipur,1,0,2
Meghalaya,0,1,11
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,21,1,60
Puducherry,3,0,7
Punjab,27,13,202
Rajasthan,183,11,1229
Tamil Nadu,283,15,1323
Telangana,186,18,791
Tripura,1,0,2
Uttarakhand,9,0,42
Uttar Pradesh,86,14,969
West Bengal,55,10,287
Andaman and Nicobar Islands,11,0,14
Andhra Pradesh,42,15,603
Arunachal Pradesh,0,0,1
Assam,12,1,35
Bihar,37,2,86
Chandigarh,10,0,23
Chhattisgarh,24,0,36
Delhi,72,43,1893
Goa,6,0,7
Gujarat,94,58,1604
Haryana,87,3,233
Himachal Pradesh,16,1,39
Jammu and Kashmir,51,5,341
Jharkhand,0,2,35
Karnataka,104,14,384
Kerala,257,3,400
Ladakh,14,0,18
Madhya Pradesh,127,70,1407
Maharashtra,365,211,3651
Manipur,1,0,2
Meghalaya,0,1,11
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,24,1,61
Puducherry,3,0,7
Punjab,31,16,219
Rajasthan,183,11,1351
Tamil Nadu,365,15,1372
Telangana,186,18,844
Tripura,1,0,2
Uttarakhand,9,0,42
Uttar Pradesh,108,17,1084
West Bengal,62,12,310
Andaman and Nicobar Islands,11,0,15
Andhra Pradesh,92,20,722
Arunachal Pradesh,0,0,1
Assam,17,1,35
Bihar,42,2,96
Chandigarh,13,0,26
Chhattisgarh,25,0,36
Delhi,290,45,2003
Goa,7,0,7
Gujarat,106,67,1851
Haryana,87,3,233
Himachal Pradesh,16,1,39
Jammu and Kashmir,56,5,350
Jharkhand,0,2,42
Karnataka,111,16,395
Kerala,270,3,402
Ladakh,14,0,18
Madhya Pradesh,127,74,1485
Maharashtra,507,223,4203
Manipur,2,0,2
Meghalaya,0,1,11
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,24,1,68
Puducherry,3,0,7
Punjab,31,16,219
Rajasthan,183,14,1478
Tamil Nadu,411,15,1477
Telangana,190,21,873
Tripura,1,0,2
Uttarakhand,11,0,44
Uttar Pradesh,129,17,1176
West Bengal,66,12,339
Andaman and Nicobar Islands,11,0,16
Andhra Pradesh,96,22,757
Arunachal Pradesh,1,0,1
Assam,19,1,35
Bihar,42,2,114
Chandigarh,13,0,26
Chhattisgarh,25,0,36
Delhi,431,47,2081
Goa,7,0,7
Gujarat,131,77,2066
Haryana,127,3,254
Himachal Pradesh,16,1,39
Jammu and Kashmir,71,5,368
Jharkhand,0,2,46
Karnataka,114,17,415
Kerala,291,3,408
Ladakh,14,0,18
Madhya Pradesh,127,76,1540
Maharashtra,572,232,4669
Manipur,2,0,2
Meghalaya,0,1,11
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,24,1,74
Puducherry,3,0,7
Punjab,39,16,245
Rajasthan,205,25,1576
Tamil Nadu,457,17,1520
Telangana,190,23,919
Tripura,1,0,2
Uttarakhand,18,0,46
Uttar Pradesh,140,20,1294
West Bengal,73,12,392
Andaman and Nicobar Islands,11,0,17
Andhra Pradesh,120,24,813
Arunachal Pradesh,1,0,1
Assam,19,1,35
Bihar,46,2,126
Chandigarh,14,0,27
Chhattisgarh,26,0,36
Delhi,611,47,2156
Goa,7,0,7
Gujarat,144,95,2272
Haryana,127,3,254
Himachal Pradesh,16,1,39
Jammu and Kashmir,81,5,380
Jharkhand,0,3,45
Karnataka,129,17,425
Kerala,323,3,427
Ladakh,14,0,18
Madhya Pradesh,148,80,1592
Maharashtra,722,251,5221
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,30,1,82
Puducherry,3,0,7
Punjab,49,16,251
Rajasthan,230,25,1801
Tamil Nadu,635,18,1596
Telangana,194,23,945
Tripura,1,0,2
Uttarakhand,19,0,46
Uttar Pradesh,165,21,1412
West Bengal,73,15,423
Andaman and Nicobar Islands,11,0,18
Andhra Pradesh,141,27,895
Arunachal Pradesh,1,0,1
Assam,19,1,35
Bihar,46,2,148
Chandigarh,14,0,27
Chhattisgarh,28,0,36
Delhi,724,48,2248
Goa,7,0,7
Gujarat,179,103,2407
Haryana,140,3,262
Himachal Pradesh,18,1,40
Jammu and Kashmir,92,5,407
Jharkhand,8,3,49
Karnataka,141,17,443
Kerala,324,3,438
Ladakh,14,0,18
Madhya Pradesh,148,81,1695
Maharashtra,789,269,5652
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,32,1,83
Puducherry,3,0,7
Punjab,65,16,277
Rajasthan,230,27,1890
Tamil Nadu,662,18,1629
Telangana,197,24,960
Tripura,1,0,2
Uttarakhand,23,0,46
Uttar Pradesh,187,21,1509
West Bengal,79,15,456
Andaman and Nicobar Islands,11,0,22
Andhra Pradesh,145,29,955
Arunachal Pradesh,1,0,1
Assam,19,1,36
Bihar,46,2,176
Chandigarh,14,0,27
Chhattisgarh,28,0,36
Delhi,808,50,2376
Goa,7,0,7
Gujarat,258,112,2624
Haryana,156,3,272
Himachal Pradesh,18,1,40
Jammu and Kashmir,92,5,427
Jharkhand,8,3,55
Karnataka,150,18,463
Kerala,324,3,448
Ladakh,14,0,18
Madhya Pradesh,203,83,1852
Maharashtra,840,283,6430
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,33,1,90
Puducherry,3,0,7
Punjab,65,16,277
Rajasthan,230,27,1964
Tamil Nadu,752,20,1683
Telangana,253,26,984
Tripura,1,0,2
Uttarakhand,24,0,47
Uttar Pradesh,206,24,1604
West Bengal,103,15,514
Andaman and Nicobar Islands,11,0,27
Andhra Pradesh,171,31,1061
Arunachal Pradesh,1,0,1
Assam,19,1,36
Bihar,46,2,228
Chandigarh,15,0,28
Chhattisgarh,30,0,36
Delhi,857,53,2514
Goa,7,0,7
Gujarat,265,127,2815
Haryana,156,3,272
Himachal Pradesh,18,1,40
Jammu and Kashmir,109,5,454
Jharkhand,9,3,59
Karnataka,153,18,489
Kerala,331,4,451
Ladakh,14,0,20
Madhya Pradesh,210,92,1952
Maharashtra,957,301,6817
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,33,1,94
Puducherry,3,0,7
Punjab,67,17,298
Rajasthan,230,27,2034
Tamil Nadu,866,22,1755
Telangana,253,26,984
Tripura,1,0,2
Uttarakhand,25,0,48
Uttar Pradesh,248,26,1778
West Bengal,103,18,571
Andaman and Nicobar Islands,11,0,33
Andhra Pradesh,231,31,1097
Arunachal Pradesh,1,0,1
Assam,19,1,36
Bihar,46,2,251
Chandigarh,17,0,30
Chhattisgarh,32,0,37
Delhi,869,54,2625
Goa,7,0,7
Gujarat,282,133,3071
Haryana,176,3,289
Himachal Pradesh,22,1,40
Jammu and Kashmir,112,6,494
Jharkhand,13,3,67
Karnataka,177,18,501
Kerala,338,4,458
Ladakh,14,0,20
Madhya Pradesh,210,99,2096
Maharashtra,1076,323,7628
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,34,1,103
Puducherry,3,0,7
Punjab,67,17,298
Rajasthan,493,33,2083
Tamil Nadu,960,23,1821
Telangana,280,26,991
Tripura,2,0,2
Uttarakhand,26,0,50
Uttar Pradesh,289,29,1843
West Bengal,105,18,611
Andaman and Nicobar Islands,11,0,33
Andhra Pradesh,235,31,1177
Arunachal Pradesh,1,0,1
Assam,27,1,36
Bihar,56,2,277
Chandigarh,17,0,30
Chhattisgarh,32,0,37
Delhi,877,54,2918
Goa,7,0,7
Gujarat,313,151,3301
Haryana,176,3,289
Himachal Pradesh,22,1,40
Jammu and Kashmir,137,6,523
Jharkhand,13,3,82
Karnataka,188,20,511
Kerala,342,4,469
Ladakh,14,0,20
Madhya Pradesh,302,106,2168
Maharashtra,1188,342,8068
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,35,1,108
Puducherry,3,0,8
Punjab,71,18,313
Rajasthan,518,41,2185
Tamil Nadu,1020,24,1885
Telangana,280,26,1002
Tripura,2,0,2
Uttarakhand,33,0,51
Uttar Pradesh,335,31,1955
West Bengal,105,20,649
Andaman and Nicobar Islands,11,0,33
Andhra Pradesh,258,31,1259
Arunachal Pradesh,1,0,1
Assam,27,1,38
Bihar,57,2,346
Chandigarh,17,0,40
Chhattisgarh,32,0,37
Delhi,877,54,3108
Goa,7,0,7
Gujarat,394,162,3548
Haryana,183,3,296
Himachal Pradesh,22,1,40
Jammu and Kashmir,164,7,546
Jharkhand,17,3,103
Karnataka,198,20,520
Kerala,355,4,482
Ladakh,16,0,22
Madhya Pradesh,361,113,2368
Maharashtra,1282,369,8590
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,37,1,118
Puducherry,3,0,8
Punjab,71,18,313
Rajasthan,669,46,2262
Tamil Nadu,1101,24,1937
Telangana,321,26,1004
Tripura,2,0,2
Uttarakhand,33,0,51
Uttar Pradesh,400,31,2043
West Bengal,109,20,697
Andaman and Nicobar Islands,15,0,33
Andhra Pradesh,287,31,1332
Arunachal Pradesh,1,0,1
Assam,27,1,38
Bihar,64,2,383
Chandigarh,17,0,56
Chhattisgarh,34,0,38
Delhi,1078,54,3314
Goa,7,0,7
Gujarat,434,181,3774
Haryana,209,3,310
Himachal Pradesh,25,1,40
Jammu and Kashmir,176,8,565
Jharkhand,19,3,105
Karnataka,215,20,532
Kerala,359,4,486
Ladakh,16,0,22
Madhya Pradesh,377,119,2561
Maharashtra,1388,400,9318
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,38,1,119
Puducherry,3,0,8
Punjab,71,19,322
Rajasthan,768,51,2364
Tamil Nadu,1168,25,2058
Telangana,367,26,1012
Tripura,2,0,2
Uttarakhand,34,0,54
Uttar Pradesh,477,36,2115
West Bengal,119,22,725
Andaman and Nicobar Islands,15,0,33
Andhra Pradesh,321,31,1403
Arunachal Pradesh,1,0,1
Assam,29,1,42
Bihar,65,2,403
Chandigarh,17,0,56
Chhattisgarh,36,0,38
Delhi,1092,56,3439
Goa,7,0,7
Gujarat,527,197,4082
Haryana,209,3,310
Himachal Pradesh,25,1,40
Jammu and Kashmir,192,8,581
Jharkhand,19,3,107
Karnataka,223,21,557
Kerala,369,4,496
Ladakh,16,0,22
Madhya Pradesh,461,130,2660
Maharashtra,1593,432,9915
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,39,1,128
Puducherry,5,0,8
Punjab,90,19,357
Rajasthan,768,51,2438
Tamil Nadu,1210,27,2162
Telangana,367,26,1012
Tripura,2,0,2
Uttarakhand,36,0,55
Uttar Pradesh,513,39,2203
West Bengal,124,22,758
Andaman and Nicobar Islands,16,0,33
Andhra Pradesh,403,33,1463
Arunachal Pradesh,1,0,1
Assam,29,1,42
Bihar,82,2,426
Chandigarh,17,0,56
Chhattisgarh,36,0,40
Delhi,1094,59,3515
Goa,7,0,7
Gujarat,613,214,4395
Haryana,209,3,313
Himachal Pradesh,28,1,40
Jammu and Kashmir,216,8,614
Jharkhand,20,3,111
Karnataka,235,22,576
Kerala,383,4,497
Ladakh,16,0,22
Madhya Pradesh,482,137,2719
Maharashtra,1773,459,10498
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,41,1,143
Puducherry,5,0,8
Punjab,90,19,357
Rajasthan,836,58,2584
Tamil Nadu,1258,27,2323
Telangana,441,26,1039
Tripura,2,0,2
Uttarakhand,36,0,57
Uttar Pradesh,555,41,2281
West Bengal,139,33,795
Andaman and Nicobar Islands,16,0,33
Andhra Pradesh,403,33,1463
Arunachal Pradesh,1,0,1
Assam,32,1,43
Bihar,98,3,471
Chandigarh,17,0,88
Chhattisgarh,36,0,43
Delhi,1167,61,3738
Goa,7,0,7
Gujarat,735,236,4721
Haryana,227,4,360
Himachal Pradesh,30,1,40
Jammu and Kashmir,247,8,639
Jharkhand,20,3,111
Karnataka,251,22,589
Kerala,392,4,497
Ladakh,17,0,22
Madhya Pradesh,524,145,2719
Maharashtra,1879,485,11506
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,55,1,149
Puducherry,5,0,8
Punjab,90,19,480
Rajasthan,1116,62,2666
Tamil Nadu,1312,28,2526
Telangana,441,26,1039
Tripura,2,0,2
Uttarakhand,36,0,58
Uttar Pradesh,654,42,2328
West Bengal,139,33,795
Andaman and Nicobar Islands,17,0,33
Andhra Pradesh,488,33,1583
Arunachal Pradesh,1,0,1
Assam,32,1,43
Bihar,117,4,482
Chandigarh,19,0,94
Chhattisgarh,36,0,43
Delhi,1256,64,4122
Goa,7,0,7
Gujarat,896,262,5055
Haryana,227,4,394
Himachal Pradesh,33,1,40
Jammu and Kashmir,254,8,666
Jharkhand,22,3,115
Karnataka,282,25,606
Kerala,400,4,500
Ladakh,17,0,40
Madhya Pradesh,798,156,2846
Maharashtra,2000,521,12296
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,56,1,160
Puducherry,5,0,8
Punjab,112,20,772
Rajasthan,1121,65,2772
Tamil Nadu,1341,29,2757
Telangana,458,28,1063
Tripura,2,0,4
Uttarakhand,39,0,59
Uttar Pradesh,698,43,2626
West Bengal,151,33,922
Andaman and Nicobar Islands,32,0,33
Andhra Pradesh,524,36,1650
Arunachal Pradesh,1,0,1
Assam,32,1,43
Bihar,125,4,517
Chandigarh,19,0,94
Chhattisgarh,36,0,57
Delhi,1362,64,4549
Goa,7,0,7
Gujarat,1042,290,5428
Haryana,245,5,442
Himachal Pradesh,34,1,40
Jammu and Kashmir,287,8,701
Jharkhand,22,3,115
Karnataka,304,26,642
Kerala,401,4,500
Ladakh,17,0,41
Madhya Pradesh,798,165,2942
Maharashtra,2115,548,12974
Manipur,2,0,2
Meghalaya,0,1,12
Mizoram,0,0,1
Odisha,60,1,163
Puducherry,5,0,8
Punjab,117,21,1102
Rajasthan,1356,71,2886
Tamil Nadu,1379,30,3023
Telangana,490,29,1082
Tripura,2,0,16
Uttarakhand,39,1,60
Uttar Pradesh,758,45,2742
West Bengal,151,35,963
Andaman and Nicobar Islands,32,0,33
Andhra Pradesh,589,36,1717
Arunachal Pradesh,1,0,1
Assam,32,1,43
Bihar,130,4,529
Chandigarh,21,1,102
Chhattisgarh,36,0,58
Delhi,1431,64,4898
Goa,7,0,7
Gujarat,1195,319,5804
Haryana,254,6,517
Himachal Pradesh,38,1,41
Jammu and Kashmir,303,8,726
Jharkhand,27,3,115
Karnataka,324,28,659
Kerala,462,4,500
Ladakh,17,0,41
Madhya Pradesh,1000,176,3049
Maharashtra,2465,583,14541
Manipur,2,0,2
Meghalaya,10,1,12
Mizoram,0,0,1
Odisha,60,1,170
Puducherry,6,0,9
Punjab,128,23,1233
Rajasthan,1394,77,3061
Tamil Nadu,1409,31,3550
Telangana,585,29,1085
Tripura,2,0,29
Uttarakhand,39,1,60
Uttar Pradesh,944,53,2859
West Bengal,218,133,1259
Andaman and Nicobar Islands,32,0,33
Andhra Pradesh,589,36,1717
Arunachal Pradesh,1,0,1
Assam,32,1,43
Bihar,142,4,536
Chandigarh,21,1,111
Chhattisgarh,36,0,59
Dadar Nagar Haveli,0,0,1
Delhi,1468,64,5104
Goa,7,0,7
Gujarat,1381,368,6245
Haryana,256,6,548
Himachal Pradesh,38,2,42
Jammu and Kashmir,320,8,741
Jharkhand,33,3,125
Karnataka,331,29,671
Kerala,462,4,502
Ladakh,17,0,41
Madhya Pradesh,1000,176,3049
Maharashtra,2819,617,15525
Manipur,2,0,2
Meghalaya,10,1,12
Mizoram,0,0,1
Odisha,60,1,175
Puducherry,6,0,9
Punjab,133,25,1451
Rajasthan,1525,89,3158
Tamil Nadu,1485,33,4058
Telangana,585,29,1096
Tripura,2,0,43
Uttarakhand,39,1,61
Uttar Pradesh,987,56,2880
West Bengal,364,140,1344
Andaman and Nicobar Islands,32,0,33
Andhra Pradesh,729,36,1777
Arunachal Pradesh,1,0,1
Assam,32,1,45
Bihar,188,4,542
Chandigarh,21,1,120
Chhattisgarh,36,0,59
Dadar Nagar Haveli,0,0,1
Delhi,1542,65,5532
Goa,7,0,7
Gujarat,1500,396,6625
Haryana,260,7,594
Himachal Pradesh,38,2,45
Jammu and Kashmir,322,8,775
Jharkhand,37,3,127
Karnataka,354,29,693
Kerala,469,4,503
Ladakh,17,0,41
Madhya Pradesh,1099,185,3138
Maharashtra,3094,651,16758
Manipur,2,0,2
Meghalaya,10,1,12
Mizoram,0,0,1
Odisha,61,2,185
Puducherry,6,0,9
Punjab,135,27,1516
Rajasthan,1596,92,3317
Tamil Nadu,1516,35,4829
Telangana,628,29,1107
Tripura,2,0,43
Uttarakhand,39,1,61
Uttar Pradesh,1130,60,2998
West Bengal,364,144,1456
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,780,38,1847
Arunachal Pradesh,1,0,1
Assam,34,1,54
Bihar,246,5,550
Chandigarh,21,1,135
Chhattisgarh,38,0,59
Dadar Nagar Haveli,0,0,1
Delhi,1931,66,5980
Goa,7,0,7
Gujarat,1709,425,7012
Haryana,260,7,625
Himachal Pradesh,38,2,46
Jammu and Kashmir,335,9,793
Jharkhand,41,3,132
Karnataka,366,30,705
Kerala,474,4,503
Ladakh,17,0,42
Madhya Pradesh,1231,193,3252
Maharashtra,3301,694,17974
Manipur,2,0,2
Meghalaya,10,1,12
Mizoram,0,0,1
Odisha,62,2,219
Puducherry,6,0,9
Punjab,149,28,1644
Rajasthan,1596,97,3427
Tamil Nadu,1547,37,5409
Telangana,650,29,1123
Tripura,2,0,65
Uttarakhand,39,1,61
Uttar Pradesh,1250,62,3071
West Bengal,364,151,1548
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,842,41,1887
Arunachal Pradesh,1,0,1
Assam,34,1,59
Bihar,297,5,571
Chandigarh,21,1,150
Chhattisgarh,38,0,59
Dadar Nagar Haveli,0,0,1
Delhi,2020,68,6318
Goa,7,0,7
Gujarat,1872,449,7402
Haryana,279,8,647
Himachal Pradesh,38,2,50
Jammu and Kashmir,364,9,823
Jharkhand,52,3,132
Karnataka,376,30,753
Kerala,484,4,503
Ladakh,17,0,42
Madhya Pradesh,1349,200,3341
Maharashtra,3470,731,19063
Manipur,2,0,2
Meghalaya,10,1,12
Mizoram,0,0,1
Odisha,63,2,271
Puducherry,6,0,9
Punjab,152,29,1731
Rajasthan,1916,101,3579
Tamil Nadu,1605,40,6009
Telangana,700,29,1133
Tripura,2,0,118
Uttarakhand,46,1,63
Uttar Pradesh,1387,66,3214
West Bengal,364,160,1678
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,887,44,1930
Arunachal Pradesh,1,0,1
Assam,34,2,63
Bihar,322,5,591
Chandigarh,24,2,169
Chhattisgarh,43,0,59
Dadar Nagar Haveli,0,0,1
Delhi,2020,73,6542
Goa,7,0,7
Gujarat,2091,472,7796
Haryana,290,9,675
Himachal Pradesh,38,2,50
Jammu and Kashmir,368,9,836
Jharkhand,78,3,156
Karnataka,386,30,794
Kerala,485,4,505
Ladakh,17,0,42
Madhya Pradesh,1676,215,3614
Maharashtra,3800,779,20228
Manipur,2,0,2
Meghalaya,10,1,13
Mizoram,1,0,1
Odisha,63,2,294
Puducherry,6,0,9
Punjab,157,31,1762
Rajasthan,2026,106,3708
Tamil Nadu,1824,44,6535
Telangana,750,30,1163
Tripura,2,0,134
Uttarakhand,46,1,67
Uttar Pradesh,1499,74,3373
West Bengal,372,171,1786
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,925,45,1980
Arunachal Pradesh,1,0,1
Assam,34,2,63
Bihar,365,6,696
Chandigarh,24,2,169
Chhattisgarh,49,0,59
Dadar Nagar Haveli,0,0,1
Delhi,2069,73,6923
Goa,7,0,7
Gujarat,2545,493,8194
Haryana,300,10,703
Himachal Pradesh,39,2,55
Jammu and Kashmir,383,9,861
Jharkhand,78,3,157
Karnataka,424,31,848
Kerala,489,4,512
Ladakh,21,0,42
Madhya Pradesh,1676,215,3614
Maharashtra,4199,832,22171
Manipur,2,0,2
Meghalaya,10,1,13
Mizoram,1,0,1
Odisha,68,3,377
Puducherry,6,0,9
Punjab,166,31,1823
Rajasthan,2176,107,3814
Tamil Nadu,1959,47,7204
Telangana,750,30,1196
Tripura,2,0,150
Uttarakhand,46,1,68
Uttar Pradesh,1653,74,3467
West Bengal,417,185,1939
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,975,45,2018
Arunachal Pradesh,1,0,1
Assam,34,2,65
Bihar,377,6,747
Chandigarh,24,2,174
Chhattisgarh,53,0,59
Dadar Nagar Haveli,0,0,1
Delhi,2129,73,7233
Goa,7,0,7
Gujarat,2780,513,8541
Haryana,337,11,730
Himachal Pradesh,39,2,59
Jammu and Kashmir,427,10,879
Jharkhand,78,3,160
Karnataka,426,31,862
Kerala,489,4,519
Ladakh,21,0,42
Madhya Pradesh,1747,221,3785
Maharashtra,4786,868,23401
Manipur,2,0,2
Meghalaya,10,1,13
Mizoram,1,0,1
Odisha,85,3,414
Puducherry,6,0,12
Punjab,168,31,1877
Rajasthan,2264,113,3988
Tamil Nadu,2051,53,8002
Telangana,800,30,1275
Tripura,2,0,152
Uttarakhand,46,1,68
Uttar Pradesh,1758,80,3573
West Bengal,499,190,2063
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1056,46,2090
Arunachal Pradesh,1,0,1
Assam,39,2,65
Bihar,383,6,831
Chandigarh,28,3,187
Chhattisgarh,54,0,59
Dadar Nagar Haveli,0,0,1
Delhi,2512,86,7639
Goa,7,0,7
Gujarat,3246,537,8903
Haryana,342,11,780
Himachal Pradesh,39,2,65
Jammu and Kashmir,455,10,934
Jharkhand,79,3,172
Karnataka,433,31,925
Kerala,489,4,524
Ladakh,21,0,42
Madhya Pradesh,1860,225,3986
Maharashtra,5125,921,24427
Manipur,2,0,2
Meghalaya,10,1,13
Mizoram,1,0,1
Odisha,116,3,437
Puducherry,9,1,13
Punjab,171,32,1914
Rajasthan,2378,117,4126
Tamil Nadu,2134,61,8718
Telangana,830,32,1326
Tripura,2,0,154
Uttarakhand,46,1,69
Uttar Pradesh,1873,82,3664
West Bengal,612,198,2173
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1142,47,2137
Arunachal Pradesh,1,0,1
Assam,39,2,80
Bihar,388,7,940
Chandigarh,28,3,187
Chhattisgarh,55,0,59
Dadar Nagar Haveli,0,0,1
Delhi,2858,106,7998
Goa,7,0,7
Gujarat,3562,566,9267
Haryana,418,11,793
Himachal Pradesh,39,2,66
Jammu and Kashmir,466,11,971
Jharkhand,79,3,173
Karnataka,451,33,959
Kerala,490,4,534
Ladakh,22,0,43
Madhya Pradesh,2004,232,4173
Maharashtra,5547,975,25922
Manipur,2,0,2
Meghalaya,10,1,13
Mizoram,1,0,1
Odisha,143,3,538
Puducherry,9,1,13
Punjab,200,32,1924
Rajasthan,2459,121,4328
Tamil Nadu,2176,64,9227
Telangana,940,34,1367
Tripura,16,0,155
Uttarakhand,46,1,72
Uttar Pradesh,1902,83,3729
West Bengal,702,207,2290
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1192,48,2205
Arunachal Pradesh,1,0,1
Assam,39,2,87
Bihar,411,7,994
Chandigarh,37,3,191
Chhattisgarh,56,0,60
Dadar Nagar Haveli,0,0,1
Delhi,3045,115,8470
Goa,7,0,14
Gujarat,3753,586,9591
Haryana,439,11,818
Himachal Pradesh,39,2,74
Jammu and Kashmir,485,11,983
Jharkhand,87,3,197
Karnataka,460,35,987
Kerala,491,4,560
Ladakh,22,0,43
Madhya Pradesh,2171,237,4426
Maharashtra,6059,1019,27524
Manipur,2,0,3
Meghalaya,11,1,13
Mizoram,1,0,1
Odisha,158,3,611
Puducherry,9,1,13
Punjab,223,32,1935
Rajasthan,2580,125,4534
Tamil Nadu,2240,66,9674
Telangana,950,34,1414
Tripura,29,0,156
Uttarakhand,50,1,78
Uttar Pradesh,2072,88,3902
West Bengal,768,215,2377
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1252,48,2307
Arunachal Pradesh,1,0,1
Assam,41,2,90
Bihar,438,7,1018
Chandigarh,37,3,191
Chhattisgarh,56,0,66
Dadar Nagar Haveli,0,0,1
Delhi,3518,123,8895
Goa,7,0,15
Gujarat,4035,606,9931
Haryana,439,11,818
Himachal Pradesh,39,3,76
Jammu and Kashmir,513,11,1013
Jharkhand,87,3,203
Karnataka,480,36,1056
Kerala,492,4,576
Ladakh,22,0,43
Madhya Pradesh,2283,239,4595
Maharashtra,6564,1068,29100
Manipur,2,0,3
Meghalaya,11,1,13
Mizoram,1,0,1
Odisha,166,3,672
Puducherry,9,1,13
Punjab,305,32,1935
Rajasthan,2677,125,4727
Tamil Nadu,2599,71,10108
Telangana,959,34,1454
Tripura,42,0,156
Uttarakhand,51,1,82
Uttar Pradesh,2165,95,4057
West Bengal,829,225,2461
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1353,49,2355
Arunachal Pradesh,1,0,1
Assam,41,2,92
Bihar,453,7,1179
Chandigarh,51,3,191
Chhattisgarh,56,0,67
Dadar Nagar Haveli,0,0,1
Delhi,3926,129,9333
Goa,7,0,17
Gujarat,4308,625,10988
Haryana,514,13,887
Himachal Pradesh,43,3,78
Jammu and Kashmir,542,12,1121
Jharkhand,113,3,217
Karnataka,496,36,1092
Kerala,495,4,587
Ladakh,22,0,43
Madhya Pradesh,2315,243,4789
Maharashtra,7088,1135,30706
Manipur,2,0,7
Meghalaya,11,1,13
Mizoram,1,0,1
Odisha,196,3,737
Puducherry,9,1,13
Punjab,1257,32,1946
Rajasthan,2839,126,4960
Tamil Nadu,3538,74,10585
Telangana,971,34,1509
Tripura,64,0,167
Uttarakhand,51,1,88
Uttar Pradesh,2441,104,4258
West Bengal,872,232,2576
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1456,50,2407
Arunachal Pradesh,1,0,1
Assam,41,2,101
Bihar,475,8,1262
Chandigarh,51,3,191
Chhattisgarh,59,0,86
Dadar Nagar Haveli,0,0,1
Delhi,4485,160,10054
Goa,7,0,29
Gujarat,4499,659,11379
Haryana,562,14,910
Himachal Pradesh,44,3,80
Jammu and Kashmir,575,13,1183
Jharkhand,113,3,223
Karnataka,509,37,1147
Kerala,497,4,601
Ladakh,24,0,43
Madhya Pradesh,2403,248,4977
Maharashtra,7688,1198,33053
Manipur,2,0,7
Meghalaya,11,1,13
Mizoram,1,0,1
Odisha,220,4,828
Puducherry,9,1,13
Punjab,1366,35,1964
Rajasthan,2992,131,5202
Tamil Nadu,4172,78,11224
Telangana,992,34,1551
Tripura,85,0,167
Uttarakhand,52,1,92
Uttar Pradesh,2441,104,4259
West Bengal,959,238,2677
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1552,50,2474
Arunachal Pradesh,1,0,1
Assam,41,2,107
Bihar,494,9,1391
Chandigarh,54,3,196
Chhattisgarh,59,0,93
Dadar Nagar Haveli,0,0,1
Delhi,4485,168,10054
Goa,7,0,38
Gujarat,4804,694,11745
Haryana,598,14,928
Himachal Pradesh,44,3,90
Jammu and Kashmir,609,15,1289
Jharkhand,113,3,223
Karnataka,530,37,1246
Kerala,497,4,630
Ladakh,41,0,43
Madhya Pradesh,2435,252,5236
Maharashtra,8437,1249,35058
Manipur,2,0,7
Meghalaya,11,1,13
Mizoram,1,0,1
Odisha,220,4,876
Puducherry,9,1,18
Punjab,1547,37,1980
Rajasthan,3218,138,5507
Tamil Nadu,4406,81,11760
Telangana,1000,35,1597
Tripura,85,0,167
Uttarakhand,52,1,93
Uttar Pradesh,2783,118,4605
West Bengal,1006,244,2825
Andaman and Nicobar Islands,33,0,33
Andhra Pradesh,1621,52,2532
